읍면동,리,주택유형,전용면적,건축연도,빈집등급,데이터기준일 
주상면,내오리,단독,59.18,1946,2,2025-07-01
주상면,내오리,단독,119.5,1936,2,2025-07-01
고제면,농산리,단독,71.44,1936,2,2025-07-01
고제면,농산리,단독,47.27,1950,2,2025-07-01
고제면,농산리,단독,67.06,1936,2,2025-07-01
고제면,봉산리,단독,67.11,1936,2,2025-07-01
주상면,완대리,단독,86.16,1945,2,2025-07-01
주상면,완대리,단독,70.81,1954,2,2025-07-01
웅양면,신촌리,단독,39.2,1974,2,2025-07-01
주상면,거기리,그외,63.16,2001,1,2025-07-01
주상면,거기리,단독,29.22,1934,2,2025-07-01
주상면,거기리,그외,50,1934,2,2025-07-01
거창읍,학리,그외,84.42,1998,1,2025-07-01
가조면,수월리,단독,61.7,1942,2,2025-07-01
가북면,용산리,단독,56.86,1900,2,2025-07-01
가북면,용산리,단독,68.76,1976,1,2025-07-01
가북면,몽석리,그외,63.13,1925,2,2025-07-01
가북면,몽석리,단독,95.54,1935,2,2025-07-01
가북면,몽석리,그외,,,2,2025-07-01
고제면,봉산리,단독,59.1,1940,2,2025-07-01
고제면,봉산리,단독,57.19,1930,2,2025-07-01
고제면,봉산리,단독,64.47,1935,2,2025-07-01
웅양면,산포리,단독,40.7,1970,2,2025-07-01
가조면,석강리,단독,87.95,1962,2,2025-07-01
가조면,석강리,단독,73.33,1972,2,2025-07-01
가조면,석강리,단독,98.5,1955,2,2025-07-01
가조면,석강리,단독,103.54,1955,2,2025-07-01
가조면,석강리,단독,78.7,1925,2,2025-07-01
가북면,우혜리,단독,107.8,1930,2,2025-07-01
남상면,월평리,단독,46.22,1960,2,2025-07-01
웅양면,노현리,그외,99.17,,2,2025-07-01
웅양면,노현리,그외,205.11,1980,1,2025-07-01
웅양면,노현리,단독,131.63,1981,1,2025-07-01
웅양면,한기리,단독,47.6,1978,2,2025-07-01
웅양면,한기리,단독,86.1,1978,1,2025-07-01
주상면,남산리,단독,12.46,1928,2,2025-07-01
고제면,농산리,단독,62.15,1940,2,2025-07-01
위천면,모동리,단독,44.4,1960,2,2025-07-01
신원면,수원리,단독,52.9,1942,2,2025-07-01
마리면,말흘리,단독,68.8,1945,2,2025-07-01
마리면,말흘리,그외,,,3,2025-07-01
고제면,봉계리,단독,101.4,1930,2,2025-07-01
주상면,성기리,단독,44.18,1995,2,2025-07-01
주상면,성기리,그외,51.3,1979,2,2025-07-01
주상면,성기리,그외,86.8,1946,2,2025-07-01
주상면,성기리,단독,65.69,1920,2,2025-07-01
마리면,대동리,단독,42.88,1941,2,2025-07-01
가조면,장기리,단독,72.5,1925,2,2025-07-01
가조면,장기리,단독,87.3,1925,2,2025-07-01
웅양면,노현리,단독,73,1930,2,2025-07-01
웅양면,노현리,그외,,,2,2025-07-01
웅양면,노현리,단독,61,1970,2,2025-07-01
위천면,강천리,그외,,,2,2025-07-01
남하면,무릉리,그외,37.33,1973,2,2025-07-01
남하면,무릉리,단독,64.47,1944,1,2025-07-01
남하면,무릉리,단독,132.89,1912,2,2025-07-01
북상면,월성리,단독,54.87,1954,2,2025-07-01
신원면,구사리,단독,66.11,1974,2,2025-07-01
신원면,구사리,단독,66.1,1974,2,2025-07-01
가조면,수월리,그외,67,1965,2,2025-07-01
가조면,수월리,단독,70.48,1977,2,2025-07-01
남상면,임불리,그외,,,2,2025-07-01
가조면,수월리,단독,66.42,1965,2,2025-07-01
남상면,무촌리,그외,57.52,1945,2,2025-07-01
남상면,무촌리,단독,78.97,1955,2,2025-07-01
남상면,임불리,단독,62,2012,2,2025-07-01
남상면,임불리,단독,111.16,1965,2,2025-07-01
남상면,임불리,단독,55.31,1926,2,2025-07-01
남상면,임불리,그외,49.3,1951,2,2025-07-01
남하면,지산리,단독,114.3,1973,2,2025-07-01
남하면,지산리,단독,94.54,1949,2,2025-07-01
가조면,사병리,단독,65.45,1925,2,2025-07-01
가조면,사병리,단독,78.79,1950,2,2025-07-01
마리면,영승리,단독,70.41,1923,2,2025-07-01
거창읍,학리,그외,48.6,1945,2,2025-07-01
북상면,병곡리,단독,98.49,1954,2,2025-07-01
위천면,장기리,단독,54.8,1976,2,2025-07-01
거창읍,장팔리,그외,135.25,1990,1,2025-07-01
주상면,도평리,단독,48.37,1956,2,2025-07-01
마리면,말흘리,단독,43.57,1978,2,2025-07-01
거창읍,동변리,단독,62.81,1945,2,2025-07-01
거창읍,동변리,그외,64.5,1951,2,2025-07-01
거창읍,상림리,단독,42.97,1954,2,2025-07-01
거창읍,중앙리,단독,19.83,1945,2,2025-07-01
거창읍,중앙리,단독,36.37,1950,2,2025-07-01
거창읍,중앙리,단독,23.14,1955,2,2025-07-01
거창읍,중앙리,단독,26.45,1945,3,2025-07-01
거창읍,중앙리,단독,26.45,1945,2,2025-07-01
거창읍,중앙리,그외,,,2,2025-07-01
거창읍,중앙리,단독,36.36,1945,2,2025-07-01
거창읍,중앙리,단독,46.28,1945,3,2025-07-01
거창읍,중앙리,단독,164.6,1992,1,2025-07-01
거창읍,중앙리,단독,29.75,1981,2,2025-07-01
거창읍,중앙리,단독,66.4,1972,2,2025-07-01
거창읍,대동리,단독,61.81,1945,2,2025-07-01
거창읍,대동리,단독,195.04,1945,2,2025-07-01
마리면,말흘리,단독,26.45,1945,2,2025-07-01
마리면,말흘리,단독,92.69,1965,2,2025-07-01
가조면,기리,그외,,,2,2025-07-01
가조면,기리,단독,55.29,1940,2,2025-07-01
가조면,기리,단독,81.81,1950,2,2025-07-01
가조면,기리,단독,85.12,1940,2,2025-07-01
남하면,지산리,단독,88.27,1946,2,2025-07-01
남상면,무촌리,단독,12.76,1948,2,2025-07-01
남상면,무촌리,그외,95.75,1994,2,2025-07-01
웅양면,신촌리,단독,80.65,1994,1,2025-07-01
웅양면,신촌리,단독,122.4,1992,1,2025-07-01
남상면,진목리,단독,71.54,1953,2,2025-07-01
거창읍,대평리,단독,49.59,,2,2025-07-01
거창읍,김천리,그외,,,3,2025-07-01
거창읍,대평리,단독,29.75,,2,2025-07-01
가조면,사병리,단독,51.39,1951,2,2025-07-01
가조면,사병리,그외,35.1,1930,2,2025-07-01
북상면,창선리,단독,54.2,1956,2,2025-07-01
남하면,지산리,단독,123.38,1940,1,2025-07-01
남하면,지산리,그외,,,1,2025-07-01
남하면,지산리,그외,33.78,1970,2,2025-07-01
남상면,대산리,단독,52.99,1926,2,2025-07-01
남상면,대산리,그외,49.6,2000,2,2025-07-01
신원면,과정리,단독,57.06,1935,2,2025-07-01
신원면,덕산리,단독,27.77,1952,2,2025-07-01
신원면,덕산리,단독,36.36,1946,2,2025-07-01
신원면,청수리,단독,36.36,1950,2,2025-07-01
마리면,영승리,단독,38.08,1973,1,2025-07-01
가북면,해평리,단독,53.2,1901,2,2025-07-01
가북면,해평리,단독,48.9,1986,2,2025-07-01
가북면,해평리,그외,41.3,1990,2,2025-07-01
남상면,춘전리,단독,61.39,1958,2,2025-07-01
북상면,갈계리,단독,57.2,1900,2,2025-07-01
마리면,율리,단독,26.45,1958,2,2025-07-01
고제면,봉산리,단독,46.22,1930,2,2025-07-01
고제면,궁항리,단독,48.67,1925,2,2025-07-01
거창읍,중앙리,단독,35.35,2001,2,2025-07-01
거창읍,중앙리,단독,56.2,1953,2,2025-07-01
주상면,남산리,그외,60.36,1950,2,2025-07-01
남상면,월평리,단독,52.63,1951,2,2025-07-01
남상면,임불리,단독,49.82,1942,3,2025-07-01
신원면,중유리,단독,66.12,1937,2,2025-07-01
주상면,연교리,단독,67.77,1962,2,2025-07-01
주상면,연교리,단독,80.37,1925,2,2025-07-01
마리면,월계리,단독,29.36,1940,2,2025-07-01
북상면,산수리,단독,63.14,1954,1,2025-07-01
북상면,산수리,단독,62.48,1954,2,2025-07-01
남상면,대산리,그외,96.76,1962,2,2025-07-01
남상면,대산리,단독,196.6,1954,2,2025-07-01
위천면,황산리,단독,58.9,1819,2,2025-07-01
위천면,황산리,단독,52.7,1910,2,2025-07-01
위천면,황산리,그외,27.3,1947,2,2025-07-01
주상면,성기리,단독,49.33,1930,2,2025-07-01
가조면,장기리,그 외,50.4,1926,4,2025-07-01
남하면 ,대야리,그 외,104.61,1950,2,2025-07-01
마리면,고학리,단독주택,48.76,1952,2,2025-07-01
마리면 ,고학리,단독주택,38.44,1940,3,2025-07-01
가조면,기리,단독주택,67.31,1925,3,2025-07-01
